State,Company,CIQID,Year,EBITDA,YearRev,Year2Rev,Year3Rev,YearOpExp,Year2OpExp,Year3OpExp,YearCapex,Year2Capex,Year3Capex,YearDiv,Year2Div,Year3Div,YearROE,Year2ROE,Year3ROE,YearDebt_EBITDA,Year2Debt_EBITDA,Year3Debt_EBITDA,YearFFO_Debt,Year2FFO_Debt,Year3FFO_Debt
MI,General Motors Company,IQ61206100,2015,12285,151092,152092,150295,144947,139904,140138,6969,7468,7938,2544,6573,3424,7.14542,9.53444,14.3322,2.45022,1.22647,2.09874,31.21471,71.768,42.06018
MI,Ford Motor Company,IQ106335,2015,11640,135782,139369,126567,132348,123635,118079,7339,6548,5455,1952,14426,12870,4.84131,56.37543,36.47779,1.73806,1.23578,2.26669,45.97916,67.12126,36.66366
WA,"Amazon.com, Inc.",IQ18749,2015,11828.5,88988,74452,61093,83931,70340,58099,4893,3444,3785,0,3191,3084,-2.35271,3.05497,-0.48906,1.11286,0.24818,0.04815,78.38236,355.95437,1615.56461
GA,"The Home Depot, Inc.",IQ278679,2015,14691.5,83176,78812,74754,70951,67889,65275,1440,1387,1309,2530,9475,10758,58.09376,35.54573,25.42397,1.6432,1.63495,1.45004,40.85319,39.79247,45.49204
PA,Comcast Corporation,IQ173341,2015,26285.5,68775,64657,62570,45852,43223,42593,8542,7605,6637,2474,44567,38082,16.43863,13.66411,12.7305,2.15677,2.30506,1.66074,36.49353,30.57419,42.46984
MN,Target Corporation,IQ174438,2015,7432,72618,72596,71960,65938,66533,65949,1785,3439,3265,1205,14654,13697,16.20352,12.02233,18.52435,1.96019,2.47044,2.13896,34.48953,26.58361,32.35676
NC,"Lowe's Companies, Inc.",IQ180871,2015,7154,56223,53417,50521,49817,47706,45338,878,940,1207,822,9030,6660,24.72847,17.78296,12.8924,2.18767,2.30021,2.24605,29.57771,38.44197,28.94597
CA,The Walt Disney Company,IQ191564,2015,17259.5,48813,45041,42278,35125,33613,31528,3238,2719,3692,1508,12776,10697,16.59752,14.40579,14.34631,1.14377,1.20475,1.43213,64.39672,60.19365,49.39256
MN,"Best Buy Co., Inc.",IQ255397,2015,2979,40339,42410,45085,38228,40554,43556,561,547,705,251,1153,1685,27.72277,18.12046,-10.93924,1.41508,1.78868,2.72697,52.68302,40.45294,27.03513
OR,"NIKE, Inc.",IQ291981,2015,5869,30601,27799,25313,25777,23487,21621,963,880,636,899,1210,228,27.81862,24.5041,22.88155,0,0.02028,0,NM,3894.7863,NM
MA,"The TJX Companies, Inc.",IQ306688,2015,5765.308,29078.407,27422.696,25878.372,24882.931,23523.303,22262.917,902.119,935.685,970.45,465.902,774.552,774.476,52.15672,54.14012,55.46573,1.00251,0.99157,0.94111,68.82031,70.8643,71.96116
